estimand,mean,ci_low,ci_high
Diagonal: 1.5B to 3B,1.7111166706188419,1.539906729847063,1.8823266113906207
Diagonal: 3B to 7B,5.30684454638114,5.053113436707248,5.560575656055033
Interaction: 1.5B to 3B,0.7811361208972267,0.5391506600019811,1.0231215817924724
Interaction: 3B to 7B,0.9678215136493579,0.6712378697530674,1.2644051575456483
7B refinement: K3 to K5,1.4557100905740443,1.0635462490450032,1.8478739321030855
